name,asset_area_type_name
digital_unit,business_context
business_term,terminology
standard_data_attribute,logical_data_area
data_attribute,logical_data_area
data_model,logical_data_area
data_entity,logical_data_area
sda_category,logical_data_area
reference_list,codelist
reference_value,codelist
column,physical_data_area
table,physical_data_area
schema,physical_data_area
data_source,physical_data_area
system,technology_asset_area
business_api,technology_asset_area
personal_data_element,data_governance_taxonomies
individual,data_governance_taxonomies
purpose_of_use,data_governance_taxonomies
personal_data_classification,data_governance_taxonomies
personal_data_category,data_governance_taxonomies
retention_period,data_governance_taxonomies
controller,data_governance_taxonomies
legal_basis,data_governance_taxonomies
