attribute_type_name,name
description,column
data_type,column
format,column
description,table
db_table_type,table
description,schema
db_comment,schema
description,data_source
num_visits,data_source
popularity_score,data_source
country_specific,data_source
request_for_access,data_source
db_source_type,data_source
hosting,system
target_group,system
home_url,system
description,system
system_type,system
description,personal_data_element
note,personal_data_element
data_type,standard_data_attribute
length,standard_data_attribute
format,standard_data_attribute
description,data_attribute
default,data_attribute
is_nullable,data_attribute
key_type,data_attribute
length,data_attribute
format,data_attribute
note,data_model
project,data_model
abbreviation,business_term
definition,business_term
example,business_term
note,business_term
description,data_entity
description,digital_unit
unit_type,digital_unit
description,individual
note,individual
description,purpose_of_use
note,purpose_of_use
description,personal_data_classification
note,personal_data_classification
description,personal_data_category
note,personal_data_category
description,retention_period
note,retention_period
description,controller
description,legal_basis
reference,legal_basis
description,reference_list
type,reference_list
description,business_api
