name,display_name,source_asset_type_name,target_asset_type_name,inverse_name,concat_string
is_part_of,IS_PART_OF,column,table,contains,column-is_part_of-table
is_part_of,IS_PART_OF,table,schema,contains,table-is_part_of-schema
is_part_of,IS_PART_OF,schema,data_source,contains,schema-is_part_of-data_source
belongs_to,BELONGS_TO,data_source,system,consists_of,data_source-belongs_to-system
is_identified_as,IS_IDENTIFIED_AS,standard_data_attribute,personal_data_element,identifies,standard_data_attribute-is_identified_as-personal_data_element
uses,USES,data_attribute,standard_data_attribute,is_used_by,data_attribute-uses-standard_data_attribute
groups,GROUPS,sda_category,standard_data_attribute,is_grouped_by,sda_category-groups-standard_data_attribute
has_logical_representation,HAS_LOGICAL_REPRESENTATION,column,data_attribute,is_logical_representation_of,column-has_logical_representation-data_attribute
is_part_of,IS_PART_OF,data_entity,data_model,contains,data_entity-is_part_of-data_model
has_definition,HAS_DEFINITION,standard_data_attribute,business_term,is_definition_of,standard_data_attribute-has_definition-business_term
has_definition,HAS_DEFINITION,data_attribute,business_term,is_definition_of,data_attribute-has_definition-business_term
has_definition,HAS_DEFINITION,data_entity,business_term,is_definition_of,data_entity-has_definition-business_term
has_logical_representation,HAS_LOGICAL_REPRESENTATION,table,data_entity,is_logical_representation_of,table-has_logical_representation-data_entity
is_part_of,IS_PART_OF,data_attribute,data_entity,contains,data_attribute-is_part_of-data_entity
is_owned_by,IS_OWNED_BY,system,digital_unit,owns,system-is_owned_by-digital_unit
is_applicable_to,IS_APPLICABLE_TO,purpose_of_use,individual,adheres_to,purpose_of_use-is_applicable_to-individual
is_used_for,IS_USED_FOR,personal_data_category,purpose_of_use,uses,personal_data_category-is_used_for-purpose_of_use
is_classified_as,IS_CLASSIFIED_AS,personal_data_element,personal_data_classification,classifies,personal_data_element-is_classified_as-personal_data_classification
is_grouped_by,IS_GROUPED_BY,personal_data_element,personal_data_category,groups,personal_data_element-is_grouped_by-personal_data_category
is_restricted_by,IS_RESTRICTED_BY,purpose_of_use,retention_period,is_applicable_to,purpose_of_use-is_restricted_by-retention_period
is_determined_by,IS_DETERMINED_BY,purpose_of_use,controller,determines,purpose_of_use-is_determined_by-controller
is_based_on,IS_BASED_ON,purpose_of_use,legal_basis,is_basis_for,purpose_of_use-is_based_on-legal_basis
has_value_in,HAS_VALUE_IN,standard_data_attribute,reference_list,contains_value_of,standard_data_attribute-has_value_in-reference_list
has_values_in,HAS_VALUE_IN,data_attribute,reference_list,contains_value_of,data_attribute-has_values_in-reference_list
contains,CONTAINS,reference_list,reference_value,is_part_of,reference_list-contains-reference_value
consists_of,CONSISTS_OF,system,business_api,belongs_to,system-consists_of-business_api
